SK_ID_CURR,PREDICTION,STATUS
267976,0.15503407748680456,NOT_ACCEPTED
267998,0.09861345307405465,NOT_ACCEPTED
267999,0.10217549652015477,NOT_ACCEPTED
268012,0.14255250548652018,NOT_ACCEPTED
268013,0.08261425566154906,NOT_ACCEPTED
268014,0.002935673613115872,NOT_ACCEPTED
100001,0.1138524293857136,NOT_ACCEPTED
323694,0.06583716273316374,NOT_ACCEPTED
100005,0.07093693133888535,NOT_ACCEPTED
323696,0.14923733439406178,NOT_ACCEPTED
268020,0.07282111506614106,NOT_ACCEPTED
100013,0.009179475077895443,NOT_ACCEPTED
323710,0.10383920780051663,NOT_ACCEPTED
323716,0.06613000123786965,NOT_ACCEPTED
323718,0.10099172560492305,NOT_ACCEPTED
323719,0.02873173062770086,NOT_ACCEPTED
323720,0.019211397488591044,NOT_ACCEPTED
323722,0.09163145411916121,NOT_ACCEPTED
323729,0.038326910065201066,NOT_ACCEPTED
323738,0.08856106605825055,NOT_ACCEPTED
323740,0.02174105994524432,NOT_ACCEPTED
323787,0.16023814994567587,NOT_ACCEPTED
323795,0.07589967106160637,NOT_ACCEPTED
268028,0.08456242259756454,NOT_ACCEPTED
268032,0.007848365592467453,NOT_ACCEPTED
268039,0.02190383404002874,NOT_ACCEPTED
268041,0.0556868017887051,NOT_ACCEPTED
268046,0.18025472203909973,NOT_ACCEPTED
268059,0.03778039214775965,NOT_ACCEPTED
268064,0.03922424242332665,NOT_ACCEPTED
268066,0.0019226071198312667,NOT_ACCEPTED
268073,0.15846827341137246,NOT_ACCEPTED
268077,0.01960949462228632,NOT_ACCEPTED
268085,0.23627362974059002,NOT_ACCEPTED
268090,0.040100232815212834,NOT_ACCEPTED
100028,0.009035656217902173,NOT_ACCEPTED
100038,0.048594595177611506,NOT_ACCEPTED
100042,0.0010972898561694177,NOT_ACCEPTED
100057,0.0876218832384776,NOT_ACCEPTED
100065,0.13429810136893353,NOT_ACCEPTED
100066,0.056034408733094544,NOT_ACCEPTED
100067,0.12066130894982853,NOT_ACCEPTED
100074,0.11320960220556105,NOT_ACCEPTED
100090,0.08005755461556852,NOT_ACCEPTED
100091,0.10180114389662766,NOT_ACCEPTED
100092,0.07693257899195811,NOT_ACCEPTED
100106,0.1259278313065455,NOT_ACCEPTED
100187,0.058312987547412605,NOT_ACCEPTED
268109,0.17903348883403938,NOT_ACCEPTED
268139,0.0014195822049212136,NOT_ACCEPTED
268151,0.16413339899927004,NOT_ACCEPTED
268153,0.1823808815169251,NOT_ACCEPTED
268155,0.17353484606002065,NOT_ACCEPTED
268163,0.10779830535901698,NOT_ACCEPTED
268166,0.028422374427541728,NOT_ACCEPTED
268185,0.19316663017998295,NOT_ACCEPTED
268189,0.20110986139375872,NOT_ACCEPTED
